260290;PE;CABO DE SANTO AGOSTINHO;7061498;SH BRASIL;SH BRASIL SERVICOS DE SAUDE LTDA;11004122000172;;M;BR 101 SUL;2750;CENTRO;54510000;-8.28700;-35.03500
260410;PE;CARUARU;7074824;HOSPITAL SANTA AGUEDA;CEOC CENTRO DE ONCOLOGIA DE CARUARU LTDA;35668094000237;;E;AVENIDA PORTUGAL;1357;UNIVERSITARIO;55016400;-8.28300;-35.97600
260600;PE;GARANHUNS;7084439;REDE DE LABORATORIOS GALVAO;GALVAO SILVA LABORATORIO DO BRASIL LTDA ME;15276980000127;;M;AVENIDA DJALMA DUTRA;51;HELIOPOLIS;55296290;-8.89000;-36.49300
260960;PE;OLINDA;7242891;TANIA MARIA TOSCANO BRITO;TANIA MARIA TOSCANO BRITO;;;M;AVENIDA GETULIO VARGAS;1348;BAIRRO NOVO;53030030;-7.95850;-34.83074
261020;PE;PANELAS;7262434;SAMU DE PANELAS;MUNICIPIO DE PANELAS;;10215176000114;M;RUA JOEL RAIMUNDO;S/N;CENTRO;55473000;-8.66400;-36.00600
261180;PE;RIBEIRAO;7260156;CENTRO DE ESPECIALIDADES ODONTOLOGICAS DO RIBEIRAO;CENTRO DE ESPECIALIDADES ODONTOLOGICAS DO RIBEIRAO;;11343910000193;M;AV MARIO DOMINGUES;876;CENTRO;55520000;-8.51400;-35.37800
261320;PE;SAO JOAO;7261322;POSTO DE SAUDE DE FREXEIRAS;PREFEITURA MUNICIPAL DE SAO JOAO;;10146371000130;M;POVOADO FREXEIRAS;S/N;RURAL;55435000;-8.87600;-36.36700
261320;PE;SAO JOAO;7257430;SAMU SAO JOAO;PREFEITURA MUNICIPAL DE SAO JOAO;;10146371000130;M;RUA JOAO DE ASSIS MORENO;40;CENTRO;55435000;-8.87293;-36.36310
260790;PE;JABOATAO DOS GUARARAPES;7095066;TELESSAUDE REDES DO JABOATAO DOS GUARARAPES;PREFEITURA MUNICIPAL DO JABOATAO DOS GUARARAPES;;10377679000196;M;RUA BARRETO DE MENEZES;S/N;PRAZERES;54330900;-8.15694;-34.93741
261090;PE;PESQUEIRA;7106726;UNIDADE DE SAUDE PITANGUINHA;PREFEITURA MUNICIPAL DE PESQUEIRA;;10264406000135;M;LOTEAMENTO PITANGUINHA;S/N;PITANGA;55200000;-8.35800;-36.69600
260005;PE;ABREU E LIMA;7103336;SAUDE CIA;DENTE CIA CLINICA MEDICA E FRATURAS LTDA ME;03396304000108;;M;RUA PEDRO SALVIANO FILHO;44;CENTRO;53520240;-7.91200;-34.90300
260410;PE;CARUARU;7100132;ESTUDIO PILATES MIRELLE VILAR;MIRELLE VILAR DE QUEIROZ;;;M;AV AGAMENOM MAGALHAES EMPR MAURICIO NASSAU TRADE;S/N;MAURICIO DE NASSAU;55012640;-8.28300;-35.97600
260410;PE;CARUARU;7100140;SABINO LABORATORIOS;NEVES LABORATORIOS LTDA ME;14382144000164;;M;AV DR PEDRO JORDAO;1252;MAURICIO DE NASSAU;55014320;-8.27884;-35.97234
261160;PE;RECIFE;7109288;DEPARTAMENTO DE PROTESE E CIRURGIA BUCO FACIAL UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;;24134488000108;M;AV PROF MORAES REGO;1235;CIDADE UNIOVERSITARI;50740465;-8.09807;-34.92917
261290;PE;SAO BENEDITO DO SUL;7108737;NASF ANTONIO LUIZ DE OLIVEIRA;MUNICIPIO DE SAO BENEDITO DO SUL;;10145803000198;M;RUA DR JOSE MARIANO;103;CENTRO;55410000;-8.808;-35.952
261160;PE;RECIFE;0001090;US 126 CS VER ROMILDO GOMES;PREFEITURA DA CIDADE DO RECIFE;;10565000000192;M;RUA JALISCO;S/N;IMBIRIBEIRA;51150460;-8.11637;-34.91197
261160;PE;RECIFE;0001112;US 186 PSF JARDIM UCHOA;PREFEITURA DA CIDADE DO RECIFE;;10565000000192;M;RUA JUPIRACY;S/N;AREIAS;50780280;-8.054;-34.881
261160;PE;RECIFE;0001120;REAL HOSPITAL PORTUGUES;REAL HOSPITAL PORTUGUES DE BENEFICIENCIA EM PE;10892164000124;;D;AV GOVERNADOR AGAMENON MAGALHAES;4760;PAISSANDU;52010902;-8.06439;-34.89818
261160;PE;RECIFE;0001147;LABORATORIO DE ANALISES CLINICAS LOUIS PASTEUR;LABORATORIO DE ANALISES CLINICAS LOUIS PASTEUR LTDA;11534534000114;;M;AV VISCONDE DE SUASSUNA;704;SANTO AMARO;50050540;-8.054;-34.881
